look	1
if	1
you	12
had	1
one	5
shot	3
or	2
opportunity	3
to	8
seize	1
everything	1
ever	1
wanted	1
in	5
moment	4
would	1
capture	2
it	10
just	1
let	3
slip	1
yo	4
his	4
palms	1
are	2
sweaty	1
knees	1
weak	1
arms	1
heavy	1
there	3
is	12
vomit	1
on	3
sweater	1
already	1
mom's	1
spaghetti	1
he	17
nervous	1
but	5
the	9
surface	1
looks	1
calm	1
and	3
ready	1
drop	1
bombs	1
keeps	1
forgetting	1
what	1
wrote	1
down	1
whole	2
crowd	1
goes	4
so	3
loud	1
opens	1
mouth	1
words	1
won't	3
come	1
out	2
choking	1
how	1
everybody	1
joking	1
now	1
clock	1
is run	1
time	1
up	2
over	1
blaow	1
snap	1
back	4
reality	1
ope	2
gravity	1
rabbit	1
choked	1
mad	1
give	1
that	3
easy	1
no	1
have	1
knows	3
these	1
ropes	1
don't	2
matter	1
dope	1
broke	1
stagnant	1
when	2
this	5
mobile	1
home	1
lab	1
again	1
old	1
rhapsody	1
better	6
go	5
hope	1
pass	1
him	1
lose	2
yourself	2
music	2
own	2
never	2
only	2
get	2
do	2
not	2
miss	2
your	2
chance	2
blow	2
comes	2
once	2
a	2
lifetime	2
lakad	1
matatag	1
